expected step
exploit, step:  51737, spool: 2.58, diameter: 52.90, speed: 83.28, motorV: 83.73, extfrq: 77.75, target: 49.20, greedy_m: 83.73, greedy_e: 77.75, reward: 0.669, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51738, spool: 2.62, diameter: 54.70, speed: 83.28, motorV: 83.66, extfrq: 77.30, target: 49.20, greedy_m: 83.66, greedy_e: 77.30, reward: 0.489, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51739, spool: 2.66, diameter: 55.50, speed: 83.28, motorV: 83.66, extfrq: 76.91, target: 49.20, greedy_m: 83.66, greedy_e: 76.91, reward: 0.409, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51740, spool: 2.69, diameter: 55.10, speed: 83.28, motorV: 83.69, extfrq: 76.50, target: 49.20, greedy_m: 83.69, greedy_e: 76.50, reward: 0.448, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51741, spool: 2.73, diameter: 55.10, speed: 83.36, motorV: 83.69, extfrq: 76.05, target: 49.20, greedy_m: 83.69, greedy_e: 76.05, reward: 0.448, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51742, spool: 2.77, diameter: 54.90, speed: 83.28, motorV: 83.62, extfrq: 75.68, target: 49.20, greedy_m: 83.62, greedy_e: 75.68, reward: 0.468, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51743, spool: 2.81, diameter: 56.10, speed: 83.28, motorV: 83.47, extfrq: 75.39, target: 49.20, greedy_m: 83.47, greedy_e: 75.39, reward: 0.348, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51744, spool: 2.84, diameter: 54.50, speed: 83.36, motorV: 83.18, extfrq: 75.12, target: 49.20, greedy_m: 83.18, greedy_e: 75.12, reward: 0.508, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:  51745, spool: 2.88, diameter: 53.90, speed: 83.28, motorV: 82.79, extfrq: 74.96, target: 49.20, greedy_m: 82.79, greedy_e: 74.96, reward: 0.568, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51746, spool: 2.92, diameter: 53.40, speed: 83.28, motorV: 82.27, extfrq: 74.86, target: 49.20, greedy_m: 82.27, greedy_e: 74.86, reward: 0.617, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51747, spool: 2.95, diameter: 52.00, speed: 83.36, motorV: 81.69, extfrq: 74.79, target: 49.20, greedy_m: 81.69, greedy_e: 74.79, reward: 0.757, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51748, spool: 2.99, diameter: 51.40, speed: 83.28, motorV: 81.22, extfrq: 74.70, target: 49.20, greedy_m: 81.22, greedy_e: 74.70, reward: 0.817, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51749, spool: 3.02, diameter: 51.20, speed: 83.36, motorV: 80.96, extfrq: 74.60, target: 49.20, greedy_m: 80.96, greedy_e: 74.60, reward: 0.837, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51750, spool: 3.06, diameter: 51.50, speed: 82.64, motorV: 80.83, extfrq: 74.52, target: 49.20, greedy_m: 80.83, greedy_e: 74.52, reward: 0.807, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51751, spool: 3.10, diameter: 50.90, speed: 81.28, motorV: 80.69, extfrq: 74.46, target: 49.20, greedy_m: 80.69, greedy_e: 74.46, reward: 0.867, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51752, spool: 3.13, diameter: 50.10, speed: 80.64, motorV: 80.38, extfrq: 74.46, target: 49.20, greedy_m: 80.38, greedy_e: 74.46, reward: 0.947, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51753, spool: 3.17, diameter: 50.20, speed: 80.08, motorV: 79.80, extfrq: 74.52, target: 49.20, greedy_m: 79.80, greedy_e: 74.52, reward: 0.937, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51754, spool: 3.21, diameter: 51.20, speed: 79.60, motorV: 79.02, extfrq: 74.66, target: 49.20, greedy_m: 79.02, greedy_e: 74.66, reward: 0.837, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51755, spool: 3.24, diameter: 50.50, speed: 79.36, motorV: 78.22, extfrq: 74.84, target: 49.20, greedy_m: 78.22, greedy_e: 74.84, reward: 0.907, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51756, spool: 3.28, diameter: 49.60, speed: 79.04, motorV: 77.58, extfrq: 74.93, target: 49.20, greedy_m: 77.58, greedy_e: 74.93, reward: 0.997, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51757, spool: 3.32, diameter: 49.40, speed: 78.00, motorV: 77.18, extfrq: 74.98, target: 49.20, greedy_m: 77.18, greedy_e: 74.98, reward: 1.017, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51758, spool: 3.35, diameter: 48.00, speed: 77.44, motorV: 77.03, extfrq: 75.02, target: 49.20, greedy_m: 77.03, greedy_e: 75.02, reward: 0.917, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51759, spool: 3.39, diameter: 49.70, speed: 76.96, motorV: 76.96, extfrq: 75.03, target: 49.20, greedy_m: 76.96, greedy_e: 75.03, reward: 0.988, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51760, spool: 3.43, diameter: 51.00, speed: 76.24, motorV: 76.89, extfrq: 74.90, target: 49.20, greedy_m: 76.89, greedy_e: 74.90, reward: 0.858, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51761, spool: 3.46, diameter: 51.30, speed: 75.68, motorV: 76.85, extfrq: 74.92, target: 49.20, greedy_m: 76.85, greedy_e: 74.92, reward: 0.827, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51762, spool: 3.50, diameter: 51.80, speed: 75.68, motorV: 76.89, extfrq: 75.17, target: 49.20, greedy_m: 76.89, greedy_e: 75.17, reward: 0.777, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:  51763, spool: 3.54, diameter: 51.30, speed: 75.76, motorV: 76.84, extfrq: 75.40, target: 49.20, greedy_m: 76.84, greedy_e: 75.40, reward: 0.828, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51764, spool: 3.57, diameter: 51.60, speed: 75.52, motorV: 76.75, extfrq: 75.61, target: 49.20, greedy_m: 76.75, greedy_e: 75.61, reward: 0.798, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51765, spool: 3.61, diameter: 51.60, speed: 75.68, motorV: 76.57, extfrq: 75.98, target: 49.20, greedy_m: 76.57, greedy_e: 75.98, reward: 0.798, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51766, spool: 3.65, diameter: 53.00, speed: 75.84, motorV: 76.39, extfrq: 76.26, target: 49.20, greedy_m: 76.39, greedy_e: 76.26, reward: 0.658, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
