expected step
explore, step:  41207, spool: 2.46, diameter: 48.90, speed: 94.72, motorV: 94.22, extfrq: 79.34, target: 50.30, greedy_m: 94.67, greedy_e: 79.35, reward: 0.900, Q_exam: 63.422, am_exam: 78.333, a_exam: 56.953,  7, temp: 79.796
explore, step:  41208, spool: 2.49, diameter: 48.90, speed: 93.84, motorV: 93.45, extfrq: 78.46, target: 50.30, greedy_m: 93.94, greedy_e: 78.51, reward: 0.900, Q_exam: 37.727, am_exam: 35.465, a_exam: 64.144,  9, temp: 79.933
explore, step:  41209, spool: 2.53, diameter: 48.10, speed: 92.88, motorV: 92.61, extfrq: 77.58, target: 50.30, greedy_m: 93.23, greedy_e: 77.58, reward: 0.819, Q_exam: 63.555, am_exam: 19.094, a_exam: 72.016,  0, temp: 79.864
explore, step:  41210, spool: 2.57, diameter: 48.30, speed: 92.08, motorV: 91.97, extfrq: 77.12, target: 50.30, greedy_m: 92.56, greedy_e: 77.17, reward: 0.839, Q_exam: 61.971, am_exam: 68.930, a_exam: 36.176,  2, temp: 79.830
explore, step:  41211, spool: 2.61, diameter: 48.00, speed: 91.68, motorV: 91.16, extfrq: 77.27, target: 50.30, greedy_m: 92.16, greedy_e: 76.98, reward: 0.809, Q_exam: 60.367, am_exam: 33.230, a_exam: 60.238,  4, temp: 79.830
explore, step:  41212, spool: 2.64, diameter: 48.30, speed: 90.80, motorV: 90.95, extfrq: 77.29, target: 50.30, greedy_m: 91.94, greedy_e: 76.88, reward: 0.839, Q_exam: 63.021, am_exam: 75.713, a_exam: 46.013,  6, temp: 79.899
explore, step:  41213, spool: 2.68, diameter: 48.40, speed: 90.16, motorV: 90.80, extfrq: 77.29, target: 50.30, greedy_m: 92.00, greedy_e: 77.13, reward: 0.849, Q_exam: 64.269, am_exam: 77.848, a_exam: 57.005,  7, temp: 79.727
explore, step:  41214, spool: 2.72, diameter: 48.70, speed: 89.84, motorV: 90.88, extfrq: 77.39, target: 50.30, greedy_m: 91.91, greedy_e: 77.38, reward: 0.879, Q_exam: 38.328, am_exam: 33.957, a_exam: 64.401,  9, temp: 79.830
explore, step:  41215, spool: 2.76, diameter: 46.40, speed: 89.36, motorV: 91.37, extfrq: 77.35, target: 50.30, greedy_m: 92.27, greedy_e: 77.73, reward: 0.649, Q_exam: 63.113, am_exam: 18.411, a_exam: 71.863,  1, temp: 79.761
explore, step:  41216, spool: 2.79, diameter: 48.80, speed: 89.36, motorV: 91.10, extfrq: 77.65, target: 50.30, greedy_m: 92.31, greedy_e: 78.24, reward: 0.889, Q_exam: 61.608, am_exam: 68.193, a_exam: 35.446,  2, temp: 79.761
