expected step
exploit, step:     58, spool: 2.02, diameter: 47.70, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.44, reward: 0.756, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     59, spool: 2.05, diameter: 45.40, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.43, reward: 0.986, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     60, spool: 2.09, diameter: 44.20, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.42, reward: 0.966, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     61, spool: 2.12, diameter: 41.10, speed: 100.32, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.43, reward: 0.656, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     62, spool: 2.16, diameter: 40.30, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.44, reward: 0.576, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     63, spool: 2.19, diameter: 41.50, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.46, reward: 0.696, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     64, spool: 2.23, diameter: 43.60, speed: 100.32, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.48, reward: 0.906, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:     65, spool: 2.26, diameter: 44.90, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.49, reward: 1.036, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     66, spool: 2.30, diameter: 45.90, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.50, reward: 0.936, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:     67, spool: 2.34, diameter: 47.60, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.47, greedy_e: -0.51, reward: 0.766, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
